=== BIT-TAPE INVENTOR ===
generations=10000 seed=0xB17BE17BE17BE17B pop_size=64 tournament=5 elite=2 mut_rate=0.70 xover_rate=0.50
gen 0 init: best_composite=-283.7431 avalanche=0.78 balance=29.92 chisq=1371.50 period=1024 used=161
gen 1800/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=39.39
gen 1810/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.06
gen 1820/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.90
gen 1830/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=45.20
gen 1840/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.61
gen 1850/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=45.50
gen 1860/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=42.94
gen 1870/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.43
gen 1880/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=42.68
gen 1890/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.90
gen 1900/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.08
gen 1910/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=45.61
gen 1920/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=41.36
gen 1930/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=40.58
gen 1940/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=42.53
gen 1950/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.62
gen 1960/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=47.42
gen 1970/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=42.84
