split,seed,arm,candidate_evaluations,grammar,mask,modulus,residue,validation_accuracy,detail
measurement,0xA300000000000001,proposed_directed,61,directed_partition,13,2,1,0.5333,RAW
measurement,0xA300000000000001,fixed_menu,62,threshold_count,3,2,,0.5327,RAW
measurement,0xA300000000000001,random_directed,62,directed_partition,67,3,0,0.5680,RAW
measurement,0xA300000000000001,proposed_directed,62,directed_partition,13,3,0,0.5613,RAW
measurement,0xA300000000000001,fixed_menu,63,threshold_count,4,2,,0.5520,RAW
measurement,0xA300000000000001,random_directed,63,directed_partition,90,2,1,0.5220,RAW
measurement,0xA300000000000001,proposed_directed,63,directed_partition,13,3,1,0.5773,RAW
measurement,0xA300000000000001,fixed_menu,64,threshold_count,5,2,,0.4567,RAW
measurement,0xA300000000000001,random_directed,64,directed_partition,153,3,0,0.5353,RAW
measurement,0xA300000000000001,proposed_directed,64,directed_partition,13,3,2,0.5700,RAW
measurement,0xA300000000000001,fixed_menu,65,threshold_count,1,3,,0.5300,RAW
measurement,0xA300000000000001,random_directed,65,directed_partition,251,2,0,0.4733,RAW
measurement,0xA300000000000001,proposed_directed,65,directed_partition,14,2,0,0.4687,RAW
measurement,0xA300000000000001,fixed_menu,66,threshold_count,2,3,,0.5547,RAW
measurement,0xA300000000000001,random_directed,66,directed_partition,82,3,0,0.5500,RAW
measurement,0xA300000000000001,proposed_directed,66,directed_partition,14,2,1,0.5313,RAW
measurement,0xA300000000000001,fixed_menu,67,threshold_count,3,3,,0.5700,RAW
measurement,0xA300000000000001,random_directed,67,directed_partition,111,3,2,0.5627,RAW
measurement,0xA300000000000001,proposed_directed,67,directed_partition,14,3,0,0.5867,RAW
measurement,0xA300000000000001,fixed_menu,68,threshold_count,4,3,,0.5653,RAW
measurement,0xA300000000000001,random_directed,68,directed_partition,87,3,1,0.5913,RAW
measurement,0xA300000000000001,proposed_directed,68,directed_partition,14,3,1,0.5680,RAW
measurement,0xA300000000000001,fixed_menu,69,threshold_count,5,3,,0.5440,RAW
measurement,0xA300000000000001,random_directed,69,directed_partition,51,2,1,0.5207,RAW
measurement,0xA300000000000001,proposed_directed,69,directed_partition,14,3,2,0.5540,RAW
measurement,0xA300000000000001,fixed_menu,70,threshold_count,1,2,,0.4293,RAW
measurement,0xA300000000000001,random_directed,70,directed_partition,240,2,1,0.5427,RAW
measurement,0xA300000000000001,proposed_directed,70,directed_partition,15,2,0,0.4620,RAW
measurement,0xA300000000000001,fixed_menu,71,threshold_count,2,2,,0.4900,RAW
measurement,0xA300000000000001,random_directed,71,directed_partition,25,2,0,0.4853,RAW
measurement,0xA300000000000001,proposed_directed,71,directed_partition,15,2,1,0.5380,RAW
measurement,0xA300000000000001,fixed_menu,72,threshold_count,3,2,,0.5327,RAW
measurement,0xA300000000000001,random_directed,72,directed_partition,92,2,0,0.4720,RAW
measurement,0xA300000000000001,proposed_directed,72,directed_partition,15,3,0,0.5200,RAW
measurement,0xA300000000000001,fixed_menu,73,threshold_count,4,2,,0.5520,RAW
measurement,0xA300000000000001,random_directed,73,directed_partition,176,3,2,0.5593,RAW
measurement,0xA300000000000001,proposed_directed,73,directed_partition,15,3,1,0.5893,RAW
measurement,0xA300000000000001,fixed_menu,74,threshold_count,5,2,,0.4567,RAW
measurement,0xA300000000000001,random_directed,74,directed_partition,20,2,1,0.5287,RAW
measurement,0xA300000000000001,proposed_directed,74,directed_partition,15,3,2,0.5993,RAW
measurement,0xA300000000000001,fixed_menu,75,threshold_count,1,3,,0.5547,RAW
measurement,0xA300000000000001,random_directed,75,directed_partition,180,2,0,0.4847,RAW
measurement,0xA300000000000001,proposed_directed,75,directed_partition,16,2,0,0.4827,RAW
measurement,0xA300000000000001,fixed_menu,76,threshold_count,2,3,,0.5280,RAW
measurement,0xA300000000000001,random_directed,76,directed_partition,214,3,2,0.5473,RAW
measurement,0xA300000000000001,proposed_directed,76,directed_partition,16,2,1,0.5173,RAW
measurement,0xA300000000000001,fixed_menu,77,threshold_count,3,3,,0.5120,RAW
measurement,0xA300000000000001,random_directed,77,directed_partition,223,3,2,0.5740,RAW
measurement,0xA300000000000001,proposed_directed,77,directed_partition,16,3,0,0.4967,RAW
measurement,0xA300000000000001,fixed_menu,78,threshold_count,4,3,,0.5060,RAW
measurement,0xA300000000000001,random_directed,78,directed_partition,28,3,2,0.5620,RAW
measurement,0xA300000000000001,proposed_directed,78,directed_partition,16,3,1,0.6200,RAW
measurement,0xA300000000000001,fixed_menu,79,threshold_count,5,3,,0.5633,RAW
measurement,0xA300000000000001,random_directed,79,directed_partition,67,2,1,0.5133,RAW
measurement,0xA300000000000001,proposed_directed,79,directed_partition,16,3,2,0.5920,RAW
measurement,0xA300000000000001,fixed_menu,80,threshold_count,1,2,,0.5707,RAW
measurement,0xA300000000000001,random_directed,80,directed_partition,123,2,1,0.5540,RAW
measurement,0xA300000000000001,proposed_directed,80,directed_partition,17,2,0,0.4447,RAW
measurement,0xA300000000000001,fixed_menu,81,threshold_count,2,2,,0.5100,RAW
measurement,0xA300000000000001,random_directed,81,directed_partition,184,3,0,0.5400,RAW
measurement,0xA300000000000001,proposed_directed,81,directed_partition,17,2,1,0.5553,RAW
measurement,0xA300000000000001,fixed_menu,82,threshold_count,3,2,,0.4673,RAW
measurement,0xA300000000000001,random_directed,82,directed_partition,17,2,0,0.4447,RAW
measurement,0xA300000000000001,proposed_directed,82,directed_partition,17,3,0,0.5547,RAW
measurement,0xA300000000000001,fixed_menu,83,threshold_count,4,2,,0.4480,RAW
measurement,0xA300000000000001,random_directed,83,directed_partition,37,2,0,0.4900,RAW
measurement,0xA300000000000001,proposed_directed,83,directed_partition,17,3,1,0.5853,RAW
measurement,0xA300000000000001,fixed_menu,84,threshold_count,5,2,,0.5433,RAW
measurement,0xA300000000000001,random_directed,84,directed_partition,92,2,1,0.5280,RAW
measurement,0xA300000000000001,proposed_directed,84,directed_partition,17,3,2,0.5687,RAW
measurement,0xA300000000000001,fixed_menu,85,threshold_count,1,3,,0.5547,RAW
measurement,0xA300000000000001,random_directed,85,directed_partition,166,3,2,0.5513,RAW
measurement,0xA300000000000001,proposed_directed,85,directed_partition,18,2,0,0.4493,RAW
measurement,0xA300000000000001,fixed_menu,86,threshold_count,2,3,,0.5280,RAW
measurement,0xA300000000000001,random_directed,86,directed_partition,215,2,1,0.5347,RAW
measurement,0xA300000000000001,proposed_directed,86,directed_partition,18,2,1,0.5507,RAW
measurement,0xA300000000000001,fixed_menu,87,threshold_count,3,3,,0.5120,RAW
measurement,0xA300000000000001,random_directed,87,directed_partition,47,3,2,0.6027,RAW
measurement,0xA300000000000001,proposed_directed,87,directed_partition,18,3,0,0.5853,RAW
measurement,0xA300000000000001,fixed_menu,88,threshold_count,4,3,,0.5060,RAW
measurement,0xA300000000000001,random_directed,88,directed_partition,208,2,0,0.4840,RAW
measurement,0xA300000000000001,proposed_directed,88,directed_partition,18,3,1,0.5500,RAW
measurement,0xA300000000000001,fixed_menu,89,threshold_count,5,3,,0.5633,RAW
measurement,0xA300000000000001,random_directed,89,directed_partition,21,3,2,0.5767,RAW
measurement,0xA300000000000001,proposed_directed,89,directed_partition,18,3,2,0.5733,RAW
measurement,0xA300000000000001,fixed_menu,90,threshold_count,1,2,,0.5707,RAW
measurement,0xA300000000000001,random_directed,90,directed_partition,253,2,0,0.4673,RAW
measurement,0xA300000000000001,proposed_directed,90,directed_partition,19,2,0,0.4900,RAW
measurement,0xA300000000000001,fixed_menu,91,threshold_count,2,2,,0.5100,RAW
measurement,0xA300000000000001,random_directed,91,directed_partition,70,3,2,0.5713,RAW
measurement,0xA300000000000001,proposed_directed,91,directed_partition,19,2,1,0.5100,RAW
measurement,0xA300000000000001,fixed_menu,92,threshold_count,3,2,,0.4673,RAW
measurement,0xA300000000000001,random_directed,92,directed_partition,232,2,0,0.4740,RAW
measurement,0xA300000000000001,proposed_directed,92,directed_partition,19,3,0,0.5800,RAW
measurement,0xA300000000000001,fixed_menu,93,threshold_count,4,2,,0.4480,RAW
measurement,0xA300000000000001,random_directed,93,directed_partition,178,3,1,0.5747,RAW
measurement,0xA300000000000001,proposed_directed,93,directed_partition,19,3,1,0.5707,RAW
measurement,0xA300000000000001,fixed_menu,94,threshold_count,5,2,,0.5433,RAW
measurement,0xA300000000000001,random_directed,94,directed_partition,40,3,1,0.5180,RAW
measurement,0xA300000000000001,proposed_directed,94,directed_partition,19,3,2,0.5580,RAW
measurement,0xA300000000000001,fixed_menu,95,threshold_count,1,3,,0.5547,RAW
measurement,0xA300000000000001,random_directed,95,directed_partition,58,3,2,0.5887,RAW
measurement,0xA300000000000001,proposed_directed,95,directed_partition,20,2,0,0.4713,RAW
measurement,0xA300000000000001,fixed_menu,96,threshold_count,2,3,,0.5280,RAW
measurement,0xA300000000000001,random_directed,96,directed_partition,211,3,1,0.5640,RAW
measurement,0xA300000000000001,proposed_directed,96,directed_partition,20,2,1,0.5287,RAW
measurement,0xA300000000000001,fixed_menu,97,threshold_count,3,3,,0.5120,RAW
measurement,0xA300000000000001,random_directed,97,directed_partition,176,2,1,0.5040,RAW
measurement,0xA300000000000001,proposed_directed,97,directed_partition,20,3,0,0.5680,RAW
measurement,0xA300000000000001,fixed_menu,98,threshold_count,4,3,,0.5060,RAW
measurement,0xA300000000000001,random_directed,98,directed_partition,195,3,2,0.5633,RAW
measurement,0xA300000000000001,proposed_directed,98,directed_partition,20,3,1,0.5553,RAW
measurement,0xA300000000000001,fixed_menu,99,threshold_count,5,3,,0.5633,RAW
measurement,0xA300000000000001,random_directed,99,directed_partition,169,3,0,0.5487,RAW
measurement,0xA300000000000001,proposed_directed,99,directed_partition,20,3,2,0.5853,RAW
measurement,0xA300000000000001,fixed_menu,100,threshold_count,1,2,,0.4293,RAW
measurement,0xA300000000000001,random_directed,100,directed_partition,198,3,2,0.5620,RAW
measurement,0xA300000000000001,proposed_directed,100,directed_partition,21,2,0,0.5033,RAW
measurement,0xA300000000000001,fixed_menu,101,threshold_count,2,2,,0.4900,RAW
measurement,0xA300000000000001,random_directed,101,directed_partition,50,3,1,0.5820,RAW
measurement,0xA300000000000001,proposed_directed,101,directed_partition,21,2,1,0.4967,RAW
measurement,0xA300000000000001,fixed_menu,102,threshold_count,3,2,,0.5327,RAW
measurement,0xA300000000000001,random_directed,102,directed_partition,175,3,2,0.5560,RAW
measurement,0xA300000000000001,proposed_directed,102,directed_partition,21,3,0,0.5627,RAW
measurement,0xA300000000000001,fixed_menu,103,threshold_count,4,2,,0.5520,RAW
measurement,0xA300000000000001,random_directed,103,directed_partition,196,3,1,0.5680,RAW
measurement,0xA300000000000001,proposed_directed,103,directed_partition,21,3,1,0.5693,RAW
measurement,0xA300000000000001,fixed_menu,104,threshold_count,5,2,,0.4567,RAW
measurement,0xA300000000000001,random_directed,104,directed_partition,205,2,1,0.5660,RAW
measurement,0xA300000000000001,proposed_directed,104,directed_partition,21,3,2,0.5767,RAW
measurement,0xA300000000000001,fixed_menu,105,threshold_count,1,3,,0.6240,RAW
measurement,0xA300000000000001,random_directed,105,directed_partition,138,2,1,0.5387,RAW
measurement,0xA300000000000001,proposed_directed,105,directed_partition,22,2,0,0.5053,RAW
measurement,0xA300000000000001,fixed_menu,106,threshold_count,2,3,,0.6260,RAW
measurement,0xA300000000000001,random_directed,106,directed_partition,122,3,2,0.5827,RAW
measurement,0xA300000000000001,proposed_directed,106,directed_partition,22,2,1,0.4947,RAW
measurement,0xA300000000000001,fixed_menu,107,threshold_count,3,3,,0.6267,RAW
measurement,0xA300000000000001,random_directed,107,directed_partition,217,3,2,0.5840,RAW
measurement,0xA300000000000001,proposed_directed,107,directed_partition,22,3,0,0.5627,RAW
measurement,0xA300000000000001,fixed_menu,108,threshold_count,4,3,,0.6373,RAW
measurement,0xA300000000000001,random_directed,108,directed_partition,148,2,1,0.5180,RAW
measurement,0xA300000000000001,proposed_directed,108,directed_partition,22,3,1,0.5720,RAW
measurement,0xA300000000000001,fixed_menu,109,threshold_count,5,3,,0.6013,RAW
measurement,0xA300000000000001,random_directed,109,directed_partition,115,2,1,0.5000,RAW
