phase,label,seed,atom_idx,length,agree1,agree2,agree3,flag,extra
phase1,classify,0x9E3779B9800B7C03,107,13,0.540179,0.611607,0.647321,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shl+a_shr+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,108,13,0.535714,0.540179,0.544643,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_sel
phase1,classify,0x9E3779B9800B7C03,109,13,0.517857,0.513393,0.491071,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_sel
phase1,classify,0x9E3779B9800B7C03,110,13,0.495536,0.540179,0.575893,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shr+a_popcnt+a_sel
phase1,classify,0x9E3779B9800B7C03,111,13,0.508929,0.500000,0.473214,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_mul+a_popcnt+a_sel
phase1,classify,0x9E3779B9800B7C03,112,14,0.549107,0.549107,0.544643,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,113,14,0.540179,0.540179,0.540179,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,114,14,0.406250,0.450893,0.531250,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shr+a_rotr+a_popcnt+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,115,14,0.504464,0.553571,0.598214,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,116,14,0.526786,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,117,14,0.526786,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shr+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,118,15,0.495536,0.549107,0.584821,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,119,15,0.616071,0.508929,0.410714,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_mul+a_rotr+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,120,15,0.602679,0.767857,0.866071,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_popcnt+a_sel
phase1,classify,0x9E3779B9800B7C03,121,15,0.517857,0.638393,0.696429,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,122,16,0.522321,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,123,16,0.473214,0.553571,0.607143,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,124,16,0.495536,0.549107,0.584821,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_bswap+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,125,16,0.290179,0.303571,0.325893,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_sub+a_mul+a_shr+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,126,16,0.397321,0.491071,0.544643,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,127,17,0.656250,0.709821,0.727679,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,128,17,0.424107,0.504464,0.575893,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shr+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,129,18,0.526786,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_rotr+a_popcnt+a_mum+a_eq+a_sel
