row,policy,opaque_id,phase,tool_hash,program_hash,payload_hash,schema_hash,builds,actions,probes,status,detail
receipt,broad_fixed,f1f15b2967c34b3,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,44409cdd879ab88,d53bd3a187721a8,2,3,3,rejected,typed_canonical
typed_witness,broad_fixed,f1f15b2967c34b3,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,44409cdd879ab88,cd0b57c3d461cc32,3,4,4,accepted,summary=1;witness_hex=313237383a3738393a31333234
receipt,broad_fixed,f1f15b2967c34b3,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,44409cdd879ab88,cd0b57c3d461cc32,3,4,4,accepted,typed_canonical
budget,broad_fixed,f1f15b2967c34b3,holdout,-,-,44409cdd879ab88,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,d13917d0f504513,holdout,4e9640b247c85a05,58967315222620f1,6488d024155da2b,10aaebf672bc000a,1,1,1,rejected,typed_canonical
typed_witness,broad_fixed,d13917d0f504513,holdout,2513f85d64cb1bda,95d55634c06adf62,6488d024155da2b,cd0b57c3d461cc32,2,2,2,accepted,summary=1;witness_hex=363438303a363437323a36353034
receipt,broad_fixed,d13917d0f504513,holdout,2513f85d64cb1bda,95d55634c06adf62,6488d024155da2b,cd0b57c3d461cc32,2,2,2,accepted,typed_canonical
receipt,broad_fixed,d13917d0f504513,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,6488d024155da2b,d53bd3a187721a8,2,3,3,rejected,typed_canonical
receipt,broad_fixed,d13917d0f504513,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,6488d024155da2b,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,d13917d0f504513,holdout,-,-,6488d024155da2b,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,e65cb01ba33cd72a,holdout,4e9640b247c85a05,58967315222620f1,ed07ac64ed394813,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,e65cb01ba33cd72a,holdout,2513f85d64cb1bda,95d55634c06adf62,ed07ac64ed394813,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
receipt,broad_fixed,e65cb01ba33cd72a,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,ed07ac64ed394813,d53bd3a187721a8,2,3,3,rejected,typed_canonical
receipt,broad_fixed,e65cb01ba33cd72a,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,ed07ac64ed394813,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,e65cb01ba33cd72a,holdout,-,-,ed07ac64ed394813,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,848aa5bfd2ce8b86,holdout,4e9640b247c85a05,58967315222620f1,8fd1b9c09ccb14b8,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,848aa5bfd2ce8b86,holdout,2513f85d64cb1bda,95d55634c06adf62,8fd1b9c09ccb14b8,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
