N,method,evals,best_E,best_F
23,exhaustive,148,543,0.487109
23,exhaustive,151,531,0.498117
23,exhaustive,162,515,0.513592
23,exhaustive,163,487,0.543121
23,exhaustive,276,463,0.571274
23,exhaustive,279,435,0.608046
23,exhaustive,295,387,0.683463
23,exhaustive,327,355,0.745070
23,exhaustive,551,323,0.818885
23,exhaustive,583,291,0.908935
23,exhaustive,670,279,0.948029
23,exhaustive,1095,275,0.961818
23,exhaustive,1098,263,1.005703
23,exhaustive,1158,231,1.145022
23,exhaustive,1159,227,1.165198
23,exhaustive,1306,219,1.207763
23,exhaustive,1422,215,1.230233
23,exhaustive,1438,203,1.302956
23,exhaustive,2122,199,1.329146
23,exhaustive,2190,195,1.356410
23,exhaustive,2226,179,1.477654
23,exhaustive,2254,175,1.511429
23,exhaustive,2266,167,1.583832
23,exhaustive,2314,151,1.751656
23,exhaustive,2659,143,1.849650
23,exhaustive,2954,135,1.959259
23,exhaustive,4631,95,2.784211
23,exhaustive,8759,83,3.186747
23,exhaustive,9255,79,3.348101
23,exhaustive,11815,63,4.198413
23,exhaustive,11887,47,5.627660
23,final,4194304,47,5.627660
24,exhaustive,1,4324,0.066605
24,exhaustive,2,3232,0.089109
24,exhaustive,3,2404,0.119800
24,exhaustive,5,2284,0.126095
24,exhaustive,6,1808,0.159292
24,exhaustive,10,1672,0.172249
24,exhaustive,11,1412,0.203966
24,exhaustive,19,1276,0.225705
24,exhaustive,21,1220,0.236066
24,exhaustive,22,1184,0.243243
24,exhaustive,37,1100,0.261818
24,exhaustive,38,1016,0.283465
24,exhaustive,42,944,0.305085
24,exhaustive,70,928,0.310345
24,exhaustive,74,824,0.349515
24,exhaustive,76,816,0.352941
24,exhaustive,82,768,0.375000
24,exhaustive,138,720,0.400000
24,exhaustive,146,712,0.404494
24,exhaustive,148,688,0.418605
24,exhaustive,149,676,0.426036
24,exhaustive,151,660,0.436364
24,exhaustive,162,656,0.439024
24,exhaustive,163,612,0.470588
24,exhaustive,276,600,0.480000
24,exhaustive,279,556,0.517986
24,exhaustive,295,500,0.576000
24,exhaustive,325,492,0.585366
24,exhaustive,327,460,0.626087
24,exhaustive,551,428,0.672897
24,exhaustive,583,388,0.742268
24,exhaustive,650,376,0.765957
24,exhaustive,670,360,0.800000
24,exhaustive,1098,344,0.837209
24,exhaustive,1158,312,0.923077
24,exhaustive,1159,308,0.935065
24,exhaustive,1298,288,1.000000
24,exhaustive,1306,280,1.028571
24,exhaustive,1438,272,1.058824
24,exhaustive,2226,240,1.200000
24,exhaustive,2314,216,1.333333
24,exhaustive,2599,212,1.358491
24,exhaustive,2659,196,1.469388
24,exhaustive,4410,176,1.636364
24,exhaustive,4631,156,1.846154
24,exhaustive,4731,140,2.057143
24,exhaustive,5691,124,2.322581
24,exhaustive,8759,116,2.482759
24,exhaustive,9255,100,2.880000
24,exhaustive,11815,92,3.130435
24,exhaustive,11887,84,3.428571
24,exhaustive,19942,80,3.600000
24,exhaustive,22607,76,3.789474
24,exhaustive,24282,72,4.000000
24,exhaustive,40515,68,4.235294
24,exhaustive,41763,60,4.800000
24,exhaustive,48570,56,5.142857
24,exhaustive,48583,52,5.538462
24,exhaustive,95962,48,6.000000
24,exhaustive,216643,44,6.545455
24,exhaustive,1091987,36,8.000000
24,final,8388608,36,8.000000
25,tabu,1,488,0.640369
