phase,seed,target,family_or_arm,members_or_idx,detail,val_or_cov,tst,ladder_pick,cert_or_solved,cov_after_or_probes,r2_or_certs
ladder,0x00C2B10D20260707,"B4 sign%mod 11",L0,3,"base",0.9063,,,1,0,0
ladder,0x00C2B10D20260707,"B5 Walsh χ{S=0x11}",L0,4,"pair",1.0000,,,1,28,1
ladder,0x00C2B10D20260707,"B6 Walsh χ{S=0xA4}",L0,5,"walsh",1.0000,,,1,287,2
ladder,0x00C2B10D20260707,"B7 Walsh χ{S=0x0A}",L0,6,"pair",1.0000,,,1,28,1
ladder,0x00C2B10D20260707,"B8 parity-of-count",L0,7,"walsh",1.0000,,,1,287,2
ladder,0x00C2B10D20260707,"B9 oriented v1>v0",L0,8,"base",1.0000,,,1,0,0
ladder,0x00C2B10D20260707,"B10 parity AND sum%5",L0,9,"base",0.9057,,,1,0,0
ladder,0x00C2B10D20260707,"B11 inversion parity",L0,10,"none",0.5160,,,0,290,14
ladder,0x00C2B10D20260707,"C01 XOR 0x0F",L0,0,"none",0.5006,,,0,441,16
ladder,0x00C2B10D20260707,"C02 parity XOR 0x33",L0,1,"none",0.4777,,,0,441,16
ladder,0x00C2B10D20260707,"C03 XOR 0x55",L0,2,"none",0.5000,,,0,441,16
ladder,0x00C2B10D20260707,"C04 XOR 0xAA",L0,3,"none",0.4926,,,0,441,16
ladder,0x00C2B10D20260707,"C05 XOR 0x3C",L0,4,"none",0.4651,,,0,441,16
ladder,0x00C2B10D20260707,"C06 XOR 0x66",L0,5,"none",0.5189,,,0,441,16
ladder,0x00C2B10D20260707,"C07 XOR 0x99",L0,6,"none",0.5211,,,0,441,16
ladder,0x00C2B10D20260707,"C08 parity count",L0,7,"walsh",1.0000,,,1,438,3
ladder,0x00C2B10D20260707,"C09 inv parity",L0,8,"none",0.5160,,,0,441,16
ladder,0x00C2B10D20260707,"C10 parity XOR 0x0F",L0,9,"none",0.5006,,,0,441,16
ladder,0x00C2B10D20260707,"C11 XOR 0x37",L0,10,"none",0.4869,,,0,441,16
ladder,0x00C2B10D20260707,"D01 sum%2",L0,0,"world",1.0000,,,1,441,16
ladder,0x00C2B10D20260707,"D02 sum%3",L0,1,"world",1.0000,,,1,185,15
ladder,0x00C2B10D20260707,"D03 sum%5",L0,2,"world",1.0000,,,1,185,15
ladder,0x00C2B10D20260707,"D04 sum%7",L0,3,"world",1.0000,,,1,185,15
ladder,0x00C2B10D20260707,"D05 sum%11",L0,4,"base",0.9126,,,1,0,0
ladder,0x00C2B10D20260707,"D06 sum%13",L0,5,"base",0.9280,,,1,0,0
ladder,0x00C2B10D20260707,"D07 count3%3",L0,6,"menu",1.0000,,,1,185,3
ladder,0x00C2B10D20260707,"D08 count3%4",L0,7,"none",0.7234,,,0,185,15
ladder,0x00C2B10D20260707,"D09 count3%5",L0,8,"none",0.7051,,,0,185,15
ladder,0x00C2B10D20260707,"D10 count3%6",L0,9,"menu",1.0000,,,1,185,3
ladder,0x00C2B10D20260707,"D11 subset-parity{0-3}",L0,10,"forge",1.0000,,,1,151,1
ladder,0xF0235A11CE0FF1CE,D08 count3%4,L1_cmp,0,"none",0.6989,,,0,1215,16
ladder,0xF0235A11CE0FF1CE,C09 inv parity,L1_cmp,0,"cmp",1.0000,,,1,1471,5
ladder,0xF0235A11CE0FF1CE,D08 count3%4,L2_menuacc,0,"menuacc",1.0000,,,1,385,4
ladder,0xF0235A11CE0FF1CE,C09 inv parity,L2_menuacc,0,"none",0.4766,,,0,641,17
ladder,0xF0235A11CE0FF1CE,"B1 random monomial deg2",L3_both,0,"forge",1.0000,,,1,151,1
ladder,0xF0235A11CE0FF1CE,"B2 random monomial deg3",L3_both,1,"forge",1.0000,,,1,150,1
ladder,0xF0235A11CE0FF1CE,"B3 sum(g) % 7",L3_both,2,"world",1.0000,,,1,1413,17
ladder,0xF0235A11CE0FF1CE,"B4 sign%mod 11",L3_both,3,"base",0.9017,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"B5 Walsh χ{S=0x11}",L3_both,4,"pair",1.0000,,,1,28,1
ladder,0xF0235A11CE0FF1CE,"B6 Walsh χ{S=0xA4}",L3_both,5,"walsh",1.0000,,,1,287,2
ladder,0xF0235A11CE0FF1CE,"B7 Walsh χ{S=0x0A}",L3_both,6,"pair",1.0000,,,1,28,1
ladder,0xF0235A11CE0FF1CE,"B8 parity-of-count",L3_both,7,"walsh",1.0000,,,1,287,2
ladder,0xF0235A11CE0FF1CE,"B9 oriented v1>v0",L3_both,8,"base",1.0000,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"B10 parity AND sum%5",L3_both,9,"world",1.0000,,,1,1264,15
ladder,0xF0235A11CE0FF1CE,"B11 inversion parity",L3_both,10,"cmp",1.0000,,,1,1520,5
ladder,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",L3_both,0,"none",0.4851,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C02 parity XOR 0x33",L3_both,1,"none",0.5023,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C03 XOR 0x55",L3_both,2,"none",0.5029,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C04 XOR 0xAA",L3_both,3,"none",0.5120,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C05 XOR 0x3C",L3_both,4,"none",0.4971,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C06 XOR 0x66",L3_both,5,"none",0.5086,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C07 XOR 0x99",L3_both,6,"none",0.5040,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C08 parity count",L3_both,7,"walsh",1.0000,,,1,438,3
ladder,0xF0235A11CE0FF1CE,"C09 inv parity",L3_both,8,"cmp",1.0000,,,1,1671,6
ladder,0xF0235A11CE0FF1CE,"C10 parity XOR 0x0F",L3_both,9,"none",0.4851,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"C11 XOR 0x37",L3_both,10,"none",0.5074,,,0,1671,18
ladder,0xF0235A11CE0FF1CE,"D01 sum%2",L3_both,0,"world",1.0000,,,1,1671,18
ladder,0xF0235A11CE0FF1CE,"D02 sum%3",L3_both,1,"world",1.0000,,,1,1415,17
ladder,0xF0235A11CE0FF1CE,"D03 sum%5",L3_both,2,"world",1.0000,,,1,1415,17
ladder,0xF0235A11CE0FF1CE,"D04 sum%7",L3_both,3,"world",1.0000,,,1,1415,17
ladder,0xF0235A11CE0FF1CE,"D05 sum%11",L3_both,4,"base",0.9040,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"D06 sum%13",L3_both,5,"base",0.9269,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"D07 count3%3",L3_both,6,"menu",1.0000,,,1,185,3
ladder,0xF0235A11CE0FF1CE,"D08 count3%4",L3_both,7,"menuacc",1.0000,,,1,385,4
ladder,0xF0235A11CE0FF1CE,"D09 count3%5",L3_both,8,"menu",1.0000,,,1,185,3
ladder,0xF0235A11CE0FF1CE,"D10 count3%6",L3_both,9,"menu",1.0000,,,1,185,3
ladder,0xF0235A11CE0FF1CE,"D11 subset-parity{0-3}",L3_both,10,"forge",0.9994,,,1,151,1
ladder,0x00C1B10D20260706,"B1 random monomial deg2",L3_both,0,"forge",1.0000,,,1,151,1
ladder,0x00C1B10D20260706,"B2 random monomial deg3",L3_both,1,"forge",1.0000,,,1,150,1
ladder,0x00C1B10D20260706,"B3 sum(g) % 7",L3_both,2,"world",1.0000,,,1,1413,17
ladder,0x00C1B10D20260706,"B4 sign%mod 11",L3_both,3,"base",0.9046,,,1,0,0
ladder,0x00C1B10D20260706,"B5 Walsh χ{S=0x11}",L3_both,4,"pair",1.0000,,,1,28,1
ladder,0x00C1B10D20260706,"B6 Walsh χ{S=0xA4}",L3_both,5,"walsh",1.0000,,,1,287,2
ladder,0x00C1B10D20260706,"B7 Walsh χ{S=0x0A}",L3_both,6,"pair",1.0000,,,1,28,1
ladder,0x00C1B10D20260706,"B8 parity-of-count",L3_both,7,"walsh",1.0000,,,1,287,2
ladder,0x00C1B10D20260706,"B9 oriented v1>v0",L3_both,8,"base",1.0000,,,1,0,0
ladder,0x00C1B10D20260706,"B10 parity AND sum%5",L3_both,9,"world",1.0000,,,1,1264,15
ladder,0x00C1B10D20260706,"B11 inversion parity",L3_both,10,"cmp",1.0000,,,1,1520,5
ladder,0x00C1B10D20260706,"C01 XOR 0x0F",L3_both,0,"none",0.5023,,,0,1671,18
ladder,0x00C1B10D20260706,"C02 parity XOR 0x33",L3_both,1,"none",0.4989,,,0,1671,18
ladder,0x00C1B10D20260706,"C03 XOR 0x55",L3_both,2,"none",0.5097,,,0,1671,18
ladder,0x00C1B10D20260706,"C04 XOR 0xAA",L3_both,3,"none",0.4846,,,0,1671,18
ladder,0x00C1B10D20260706,"C05 XOR 0x3C",L3_both,4,"none",0.4897,,,0,1671,18
ladder,0x00C1B10D20260706,"C06 XOR 0x66",L3_both,5,"none",0.5091,,,0,1671,18
ladder,0x00C1B10D20260706,"C07 XOR 0x99",L3_both,6,"none",0.5183,,,0,1671,18
ladder,0x00C1B10D20260706,"C08 parity count",L3_both,7,"walsh",1.0000,,,1,438,3
ladder,0x00C1B10D20260706,"C09 inv parity",L3_both,8,"cmp",1.0000,,,1,1671,6
ladder,0x00C1B10D20260706,"C10 parity XOR 0x0F",L3_both,9,"none",0.5023,,,0,1671,18
ladder,0x00C1B10D20260706,"C11 XOR 0x37",L3_both,10,"none",0.4880,,,0,1671,18
ladder,0x00C1B10D20260706,"D01 sum%2",L3_both,0,"world",1.0000,,,1,1671,18
ladder,0x00C1B10D20260706,"D02 sum%3",L3_both,1,"world",1.0000,,,1,1415,17
ladder,0x00C1B10D20260706,"D03 sum%5",L3_both,2,"world",1.0000,,,1,1415,17
ladder,0x00C1B10D20260706,"D04 sum%7",L3_both,3,"world",1.0000,,,1,1415,17
ladder,0x00C1B10D20260706,"D05 sum%11",L3_both,4,"base",0.9154,,,1,0,0
ladder,0x00C1B10D20260706,"D06 sum%13",L3_both,5,"base",0.9297,,,1,0,0
ladder,0x00C1B10D20260706,"D07 count3%3",L3_both,6,"menu",1.0000,,,1,185,3
ladder,0x00C1B10D20260706,"D08 count3%4",L3_both,7,"menuacc",1.0000,,,1,385,4
ladder,0x00C1B10D20260706,"D09 count3%5",L3_both,8,"menuacc",1.0000,,,1,385,4
ladder,0x00C1B10D20260706,"D10 count3%6",L3_both,9,"menu",1.0000,,,1,185,3
ladder,0x00C1B10D20260706,"D11 subset-parity{0-3}",L3_both,10,"forge",0.9989,,,1,151,1
ladder,0x00C2B10D20260707,"B1 random monomial deg2",L3_both,0,"forge",1.0000,,,1,151,1
ladder,0x00C2B10D20260707,"B2 random monomial deg3",L3_both,1,"forge",1.0000,,,1,150,1
ladder,0x00C2B10D20260707,"B3 sum(g) % 7",L3_both,2,"world",1.0000,,,1,1413,17
ladder,0x00C2B10D20260707,"B4 sign%mod 11",L3_both,3,"base",0.9063,,,1,0,0
ladder,0x00C2B10D20260707,"B5 Walsh χ{S=0x11}",L3_both,4,"pair",1.0000,,,1,28,1
