artifact,battery,policy,stage,virtual_epochs,heldout_material,heldout_correct_x4096,charged_contacts,forged_instruments,revised_records,generated_world_visits,component_events,verdict
round_ar,AR3,earned_forge,checkpoint,110784,20650,2065,10635264,2658816,1329854,10635264,382869504,curve
round_ar,AR3,earned_forge,checkpoint,110976,20380,2038,10653696,2663424,1332128,10653696,383533056,curve
round_ar,AR3,earned_forge,checkpoint,111168,19770,1977,10672128,2668032,1334467,10672128,384196608,curve
round_ar,AR3,earned_forge,checkpoint,111360,20400,2040,10690560,2672640,1336810,10690560,384860160,curve
round_ar,AR3,earned_forge,checkpoint,111552,20230,2023,10708992,2677248,1339076,10708992,385523712,curve
round_ar,AR3,earned_forge,checkpoint,111744,21130,2113,10727424,2681856,1341393,10727424,386187264,curve
round_ar,AR3,earned_forge,checkpoint,111936,20750,2075,10745856,2686464,1343731,10745856,386850816,curve
round_ar,AR3,earned_forge,checkpoint,112128,20900,2090,10764288,2691072,1346019,10764288,387514368,curve
round_ar,AR3,earned_forge,checkpoint,112320,20580,2058,10782720,2695680,1348340,10782720,388177920,curve
round_ar,AR3,earned_forge,checkpoint,112512,20890,2089,10801152,2700288,1350669,10801152,388841472,curve
round_ar,AR3,earned_forge,checkpoint,112704,20090,2009,10819584,2704896,1352962,10819584,389505024,curve
round_ar,AR3,earned_forge,checkpoint,112896,19690,1969,10838016,2709504,1355214,10838016,390168576,curve
round_ar,AR3,earned_forge,checkpoint,113088,20540,2054,10856448,2714112,1357537,10856448,390832128,curve
round_ar,AR3,earned_forge,checkpoint,113280,20120,2012,10874880,2718720,1359858,10874880,391495680,curve
round_ar,AR3,earned_forge,checkpoint,113472,20390,2039,10893312,2723328,1362168,10893312,392159232,curve
round_ar,AR3,earned_forge,checkpoint,113664,20640,2064,10911744,2727936,1364495,10911744,392822784,curve
round_ar,AR3,earned_forge,checkpoint,113856,20140,2014,10930176,2732544,1366848,10930176,393486336,curve
round_ar,AR3,earned_forge,checkpoint,114048,20550,2055,10948608,2737152,1369168,10948608,394149888,curve
