seed,arm,phase,target,solved,lib_hit,label,cov,nlib_after,tax_checked_cum,tax_blocked_cum,evals_cum
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P3 repeat sum%7",1,0,"unified escalation",1.0000,12,0,0,389
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P5 repeat monomial deg2",1,0,"unified escalation",1.0000,12,0,0,394
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P4 compose parity AND sum%7",1,1,"frozen/grown monomials",0.9400,11,0,0,395
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P6 fresh Walsh chi{0x51}",1,0,"unified escalation",1.0000,12,0,0,400
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P7 fresh monomial deg3",1,0,"unified escalation",1.0000,12,0,0,405
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P8 fresh parity AND sum%3",0,0,"saturated",0.8469,11,0,0,756
# summary: seed,arm,p1_solved,p2_solved,p2_lib_hits,tax_checked,tax_blocked,verdict_novel,verdict_remix,kept_promotions,transient_promotions,nlib_final,evals_total
# 0xF0235A11CE0FF1CE,A_gated,11,8,2,30,27,3,27,3,0,14,2004
# 0xF0235A11CE0FF1CE,B_current,11,8,5,11,0,3,8,11,0,22,397
# 0xF0235A11CE0FF1CE,C_no_promotion,11,7,1,0,0,0,0,0,13,11,749
# 0x1CEB00DA20260710,A_gated,10,8,2,31,28,3,28,3,0,14,2354
# 0x1CEB00DA20260710,B_current,11,8,5,11,0,3,8,11,0,22,397
# 0x1CEB00DA20260710,C_no_promotion,11,7,1,0,0,0,0,0,14,11,756
# 0xBADC0FFEE0DDF00D,A_gated,10,8,2,31,28,3,28,3,0,14,2040
# 0xBADC0FFEE0DDF00D,B_current,11,8,5,11,0,3,8,11,0,22,397
# 0xBADC0FFEE0DDF00D,C_no_promotion,11,7,1,0,0,0,0,0,14,11,756
