phase,seed,lens_or_arm,target,family,deg,attempt,hit,accepted,false_accept,alias,ev_lb,ev_tb,ev_cmp,ev_k0,stat,true_stat,val_stat,consistent,rank,cov_before,cov_after,r2,tax,tax_corr,evals,note
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,9,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,10,0,0,0,0,0x00,0x63,0x0000000,0,0.0531,0.0126,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,10,0,0,0,0,0x20,0x14,0x0000000,0,0.0663,0.0314,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,10,1,0,0,0,0x09,0x06,0x0000000,0,0.1223,0.1120,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,10,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,10,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,10,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,11,0,0,0,0,0x00,0xA8,0x0000000,0,0.0514,-0.0160,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,11,0,0,0,0,0x80,0x7C,0x0000000,0,0.0549,0.0263,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,11,1,0,0,0,0x0A,0x05,0x0000000,0,0.1206,0.1015,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,11,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,11,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,11,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,12,0,0,0,0,0x00,0x68,0x0000000,0,0.0486,0.0103,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,12,0,0,0,0,0x01,0x44,0x0000000,0,0.0571,0.0360,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,12,1,0,0,0,0x03,0x0C,0x0000000,0,0.1286,0.1101,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,12,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,12,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,12,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,13,0,0,0,0,0x00,0x45,0x0000000,0,0.0491,0.0223,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,13,0,0,0,0,0x80,0x62,0x0000000,0,0.0577,0.0401,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,13,1,0,0,0,0x09,0x06,0x0000000,0,0.1257,0.1100,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,13,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,13,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,13,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,14,0,0,0,0,0x00,0x63,0x0000000,0,0.0531,0.0126,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,14,0,0,0,0,0x10,0x46,0x0000000,0,0.0634,0.0403,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,14,1,0,0,0,0x0A,0x05,0x0000000,0,0.1257,0.1090,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,14,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,14,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,14,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,15,0,0,0,0,0x00,0x63,0x0000000,0,0.0634,0.0080,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,15,0,0,0,0,0x20,0x14,0x0000000,0,0.0640,0.0329,0.0000,0,0,,,,,,1016,
