section,seed,target,round_or_gt,family_or_verdict,detail,metric_val,metric_tst,extra1,extra2
roc_r2,0xF0235A11CE0FF1CE,"C09(inv parity)",-,-,r2,-0.0167,,,
roc,0xF0235A11CE0FF1CE,"RATIO1",novel,gt_novel,excl=thresh+ratio;K=6,0.5069,1.0000,gate_admit,-
roc_r2,0xF0235A11CE0FF1CE,"RATIO1",-,-,r2,-0.0166,,,
roc,0xF0235A11CE0FF1CE,"MIXMOD1",novel,gt_novel,excl=mixr;K=6,0.6560,1.0000,gate_admit,-
roc_r2,0xF0235A11CE0FF1CE,"MIXMOD1",-,-,r2,0.0321,,,
roc,0xF0235A11CE0FF1CE,"REMIX-A(thresh k=2 dup)",remix,gt_remix,excl=thresh;K=4,1.0000,1.0000,gate_reject,-
roc_r2,0xF0235A11CE0FF1CE,"REMIX-A(thresh k=2 dup)",-,-,r2,0.7539,,,
roc,0xF0235A11CE0FF1CE,"REMIX-B(gridSum dup)",remix,gt_remix,excl=mono;K=7,0.9983,1.0000,gate_reject,-
roc_r2,0xF0235A11CE0FF1CE,"REMIX-B(gridSum dup)",-,-,r2,0.9621,,,
threshold_scan,-,-,-,-,thr=0.10,3,3,3,0
threshold_scan,-,-,-,-,thr=0.20,3,3,3,0
threshold_scan,-,-,-,-,thr=0.30,3,2,4,0
threshold_scan,-,-,-,-,thr=0.40,3,2,4,0
threshold_scan,-,-,-,-,thr=0.50,3,2,4,0
threshold_scan,-,-,-,-,thr=0.60,2,2,4,1
threshold_scan,-,-,-,-,thr=0.70,2,2,4,1
threshold_scan,-,-,-,-,thr=0.80,1,0,6,2
threshold_scan,-,-,-,-,thr=0.90,1,0,6,2
