attack,item,detail,depth,n_streams,L,threshold,trials,m1,m2,m3,m4,witness,note
A4_roc,n16_L28,labeled_pairs,0,16,28,0.950,12445,0.000851,0.781818,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L28,labeled_pairs,0,16,28,0.970,12445,0.000000,0.109091,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L28,labeled_pairs,0,16,28,0.990,12445,0.000000,0.054545,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n16_L28,labeled_pairs,0,16,28,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L28,labeled_pairs,0,32,28,0.950,12445,0.000851,0.781818,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L28,labeled_pairs,0,32,28,0.970,12445,0.000000,0.109091,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L28,labeled_pairs,0,32,28,0.990,12445,0.000000,0.036364,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n32_L28,labeled_pairs,0,32,28,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L28,labeled_pairs,0,64,28,0.950,12445,0.000851,0.672727,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L28,labeled_pairs,0,64,28,0.970,12445,0.000000,0.090909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L28,labeled_pairs,0,64,28,0.990,12445,0.000000,0.036364,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n64_L28,labeled_pairs,0,64,28,1.000,12445,0.000000,0.000000,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
