protocol,stage,opaque_token,public_trace,candidate,split,example_index,correct,charged_call,detail
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,4,0,138,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,5,0,139,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,6,0,140,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,7,0,141,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,8,0,142,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,9,0,143,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,10,0,144,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,11,0,145,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,12,0,146,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,13,0,147,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,14,0,148,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,15,0,149,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,16,0,150,equal_cost_padding
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,0,1,151,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,0,1,152,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,1,1,153,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,1,0,154,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,2,1,155,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,2,1,156,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,3,1,157,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,3,0,158,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,4,1,159,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,4,1,160,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,5,1,161,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,5,0,162,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,6,1,163,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,6,1,164,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,7,1,165,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,7,0,166,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,8,1,167,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,8,1,168,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,9,1,169,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,9,0,170,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,10,1,171,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,10,1,172,equal_cost_control
round_m_m4,fresh_test,M4-W9,9:3,bit0_zero,test,11,1,173,frozen_before_test
round_m_m4,baseline_test,M4-W9,9:3,existing_menu,test,11,0,174,equal_cost_control
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,0,0,175,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,1,0,176,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,2,0,177,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,3,0,178,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,4,0,179,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,5,0,180,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,6,0,181,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_zero,train,7,0,182,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,0,1,183,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,1,1,184,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,2,1,185,aggregate_train_only
round_m_m4,train_query,M4-R4,3:9,bit1_one,train,3,1,186,aggregate_train_only
