split,seed,arm,grammar,mask,modulus,residue,base_rate,fixed_menu_val,random_val,selected_val,test_acc,reconstruction_proxy_test,validity
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,28,2,1,0.2911,,,0.5343,0.5400,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,28,3,0,0.2911,,,0.5771,0.5686,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,28,3,1,0.2911,,,0.5474,0.5686,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,28,3,2,0.2911,,,0.5669,0.5731,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,29,2,0,0.2911,,,0.4497,0.4411,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,29,2,1,0.2911,,,0.5503,0.5589,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,29,3,0,0.2911,,,0.5263,0.5366,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,29,3,1,0.2911,,,0.6046,0.6034,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,29,3,2,0.2911,,,0.5606,0.5703,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,30,2,0,0.2911,,,0.4789,0.4909,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,30,2,1,0.2911,,,0.5211,0.5091,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,30,3,0,0.2911,,,0.5371,0.5429,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,30,3,1,0.2911,,,0.5857,0.6034,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,30,3,2,0.2911,,,0.5686,0.5640,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,31,2,0,0.2911,,,0.4594,0.4646,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,31,2,1,0.2911,,,0.5406,0.5354,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,31,3,0,0.2911,,,0.5474,0.5686,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,31,3,1,0.2911,,,0.5657,0.5406,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,31,3,2,0.2911,,,0.5783,0.6011,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,32,2,0,0.2911,,,0.4777,0.4811,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,32,2,1,0.2911,,,0.5223,0.5189,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,32,3,0,0.2911,,,0.5011,0.5057,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,32,3,1,0.2911,,,0.6200,0.6274,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,32,3,2,0.2911,,,0.5703,0.5771,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,33,2,0,0.2911,,,0.4634,0.4497,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,33,2,1,0.2911,,,0.5366,0.5503,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,33,3,0,0.2911,,,0.5709,0.5749,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,33,3,1,0.2911,,,0.5503,0.5737,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,33,3,2,0.2911,,,0.5703,0.5617,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,34,2,0,0.2911,,,0.4526,0.4703,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,34,2,1,0.2911,,,0.5474,0.5297,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,34,3,0,0.2911,,,0.5514,0.5606,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,34,3,1,0.2911,,,0.5634,0.5737,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,34,3,2,0.2911,,,0.5766,0.5760,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,35,2,0,0.2911,,,0.4977,0.4771,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,35,2,1,0.2911,,,0.5023,0.5229,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,35,3,0,0.2911,,,0.5446,0.5743,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,35,3,1,0.2911,,,0.5789,0.5560,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,35,3,2,0.2911,,,0.5680,0.5800,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,36,2,0,0.2911,,,0.4549,0.4263,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,36,2,1,0.2911,,,0.5451,0.5737,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,36,3,0,0.2911,,,0.5703,0.5606,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,36,3,1,0.2911,,,0.5429,0.5840,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,36,3,2,0.2911,,,0.5783,0.5657,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,37,2,0,0.2911,,,0.4840,0.4697,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,37,2,1,0.2911,,,0.5160,0.5303,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,37,3,0,0.2911,,,0.5749,0.5646,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,37,3,1,0.2911,,,0.5594,0.5577,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,37,3,2,0.2911,,,0.5571,0.5880,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,38,2,0,0.2911,,,0.4897,0.4914,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,38,2,1,0.2911,,,0.5103,0.5086,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,38,3,0,0.2911,,,0.5554,0.5577,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,38,3,1,0.2911,,,0.5731,0.5583,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,38,3,2,0.2911,,,0.5629,0.5943,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,39,2,0,0.2911,,,0.4686,0.4566,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,39,2,1,0.2911,,,0.5314,0.5434,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,39,3,0,0.2911,,,0.5463,0.5760,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,39,3,1,0.2911,,,0.5800,0.5691,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,39,3,2,0.2911,,,0.5651,0.5651,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,40,2,0,0.2911,,,0.4634,0.4720,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,40,2,1,0.2911,,,0.5366,0.5280,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,40,3,0,0.2911,,,0.5886,0.5903,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,40,3,1,0.2911,,,0.4920,0.5171,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,40,3,2,0.2911,,,0.6109,0.6029,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,41,2,0,0.2911,,,0.4737,0.4297,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,41,2,1,0.2911,,,0.5263,0.5703,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,41,3,0,0.2911,,,0.5829,0.5794,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,41,3,1,0.2911,,,0.5617,0.5674,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,41,3,2,0.2911,,,0.5469,0.5634,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,42,2,0,0.2911,,,0.4480,0.4646,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,42,2,1,0.2911,,,0.5520,0.5354,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,42,3,0,0.2911,,,0.5760,0.5874,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,42,3,1,0.2911,,,0.5674,0.5720,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,42,3,2,0.2911,,,0.5480,0.5509,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,43,2,0,0.2911,,,0.4903,0.4869,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,43,2,1,0.2911,,,0.5097,0.5131,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,43,3,0,0.2911,,,0.5354,0.5423,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,43,3,1,0.2911,,,0.5926,0.5903,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,43,3,2,0.2911,,,0.5634,0.5777,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,44,2,0,0.2911,,,0.4554,0.4469,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,44,2,1,0.2911,,,0.5446,0.5531,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,44,3,0,0.2911,,,0.5669,0.5823,,RAW
