row,cap,seed_idx,grid_seed,battery_seed,target_idx,target_kind,target_solved,target_source,solves,total,evals_consumed,promos_checked,novel_strict,survivors_v4,remix_blocked,final_nlib,prep_sec,battery_sec,prep_cpu_sec,battery_cpu_sec
run,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,11,11,372,8,2,8,0,19,3.062,21.878,3.062,21.840
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,1,forge,,,5,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,1,world,,,8,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,1,base,,,1,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,1,base,,,1,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,96,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,11,11,372,8,2,8,0,19,3.067,22.063,3.062,21.946
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,1,forge,,,5,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,1,world,,,8,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,1,base,,,1,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,1,base,,,1,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,384,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,11,11,372,8,2,8,0,19,3.016,21.736,3.014,21.659
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,1,world,,,8,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,1,base,,,1,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,1,base,,,1,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,1536,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,1,11,6,1,0,1,0,12,3.016,1.558,3.015,1.558
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,0,base,,,1,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,6,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,0,base,,,0,,,,,,,,,
run,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,3,11,18,3,1,3,0,14,3.049,9.591,3.027,9.582
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,1,forge,,,5,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,1,world,,,8,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,12,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,0,base,,,0,,,,,,,,,
run,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,5,11,24,4,1,4,0,15,3.031,10.423,3.028,10.351
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,1,forge,,,5,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,1,world,,,8,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,1,base,,,1,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,0,base,,,0,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,0,base,,,0,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,0,base,,,0,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,0,base,,,0,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,24,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,0,base,,,0,,,,,,,,,
run,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,10,11,50,8,2,8,0,19,3.056,18.209,3.055,17.953
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,1,forge,,,5,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,1,world,,,8,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,1,base,,,1,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,1,base,,,1,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,48,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,0,base,,,0,,,,,,,,,
run,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,11,11,372,8,2,8,0,19,3.085,22.135,3.057,21.932
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,1,forge,,,5,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,1,world,,,8,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,1,base,,,1,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,1,base,,,1,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,96,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,11,11,372,8,2,8,0,19,3.017,22.077,3.015,21.985
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,1,forge,,,5,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,1,world,,,8,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,1,base,,,1,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,1,base,,,1,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,384,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,,,,,11,11,372,8,2,8,0,19,3.114,22.028,3.059,21.978
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,0,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,1,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,2,sum_mod,1,world,,,8,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,3,sign_mod,1,base,,,1,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,8,oriented,1,base,,,1,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,1536,3,0x9E3779B97F4A7C15,0x243F6A8885A308D3,10,inversion_parity,1,menu,,,322,,,,,,,,,
