iter,T,value,min_pair,best_value,best_min_pair,accepted
629,2.2778,955,26,965,17,1
630,2.2733,955,26,965,17,1
631,2.2688,955,26,965,17,1
632,2.2642,955,26,965,17,1
633,2.2597,955,26,965,17,1
634,2.2552,955,26,965,17,1
635,2.2507,955,26,965,17,1
636,2.2462,955,26,965,17,1
637,2.2417,955,26,965,17,0
638,2.2373,955,26,965,17,1
639,2.2328,955,26,965,17,1
640,2.2284,955,26,965,17,0
641,2.2239,955,26,965,17,0
642,2.2195,955,26,965,17,1
643,2.2150,955,26,965,17,0
644,2.2106,955,26,965,17,1
645,2.2062,955,26,965,17,0
646,2.2018,955,26,965,17,1
647,2.1974,955,26,965,17,1
648,2.1930,955,26,965,17,0
649,2.1887,954,26,965,17,1
650,2.1843,954,26,965,17,0
651,2.1799,954,26,965,17,1
652,2.1756,954,26,965,17,1
653,2.1712,954,26,965,17,1
654,2.1669,954,26,965,17,1
655,2.1626,954,26,965,17,1
656,2.1583,954,26,965,17,1
657,2.1540,954,26,965,17,1
658,2.1497,954,26,965,17,1
659,2.1454,954,26,965,17,1
660,2.1411,954,26,965,17,1
661,2.1368,954,26,965,17,1
662,2.1326,954,26,965,17,1
663,2.1283,954,26,965,17,1
664,2.1241,954,26,965,17,1
665,2.1198,954,26,965,17,0
666,2.1156,954,26,965,17,1
667,2.1114,954,26,965,17,1
668,2.1072,954,26,965,17,1
669,2.1030,954,26,965,17,1
670,2.0988,954,26,965,17,1
671,2.0946,954,26,965,17,1
672,2.0904,954,26,965,17,1
673,2.0862,954,26,965,17,0
674,2.0821,954,26,965,17,1
675,2.0779,954,26,965,17,1
676,2.0738,954,26,965,17,1
677,2.0696,954,26,965,17,1
678,2.0655,954,26,965,17,0
679,2.0614,954,26,965,17,1
680,2.0573,954,26,965,17,1
681,2.0532,954,26,965,17,1
682,2.0491,954,26,965,17,1
683,2.0450,954,26,965,17,1
684,2.0409,954,26,965,17,0
685,2.0368,954,26,965,17,1
686,2.0328,954,26,965,17,1
687,2.0287,954,26,965,17,1
688,2.0247,954,26,965,17,0
689,2.0206,954,26,965,17,1
690,2.0166,954,26,965,17,1
691,2.0126,954,26,965,17,1
692,2.0085,954,26,965,17,1
693,2.0045,954,26,965,17,0
694,2.0005,954,26,965,17,1
695,1.9965,954,26,965,17,1
696,1.9926,954,26,965,17,1
