layer,token,stream,e0,e1,e2,e3,e4,e5
31,5,0,134,259,12,258,304,292
31,5,1,259,31,248,361,176,235
31,6,0,248,366,12,72,44,200
31,6,1,369,29,295,192,94,355
31,7,0,106,192,145,369,304,29
31,7,1,192,106,251,128,173,145
32,0,0,63,362,179,23,187,79
32,0,1,63,220,331,176,6,160
32,1,0,334,307,4,229,251,335
32,1,1,274,257,251,96,334,68
32,2,0,8,211,339,115,249,274
32,2,1,249,322,282,155,55,47
32,3,0,63,366,127,57,156,6
32,3,1,63,156,57,333,179,209
32,4,0,321,274,146,138,346,6
32,4,1,274,6,146,33,179,321
32,5,0,274,63,156,362,366,166
32,5,1,274,100,203,18,168,142
32,6,0,33,292,289,176,256,240
32,6,1,176,6,256,33,369,102
32,7,0,176,91,63,193,234,367
32,7,1,274,63,176,91,208,110
33,0,0,61,48,238,263,111,283
33,0,1,177,48,342,283,169,81
33,1,0,135,133,33,244,286,183
33,1,1,177,172,133,307,96,267
33,2,0,289,202,172,127,81,150
33,2,1,48,146,127,369,270,361
33,3,0,358,81,238,104,48,127
33,3,1,358,379,81,324,48,319
33,4,0,77,48,380,23,31,58
33,4,1,38,48,380,275,77,379
33,5,0,345,177,24,335,354,236
33,5,1,177,345,146,340,167,195
33,6,0,151,221,375,177,344,118
33,6,1,275,379,277,246,100,228
33,7,0,261,352,229,37,149,157
33,7,1,229,352,52,39,244,270
34,0,0,16,179,171,366,126,198
34,0,1,162,179,148,219,8,145
34,1,0,179,165,16,368,204,325
34,1,1,16,179,161,165,251,335
34,2,0,179,16,261,339,360,219
34,2,1,179,364,14,125,261,192
34,3,0,218,145,306,46,371,322
34,3,1,379,218,162,212,248,172
34,4,0,16,179,219,253,114,99
34,4,1,179,114,16,41,108,86
34,5,0,128,108,342,99,314,322
34,5,1,179,364,175,125,128,317
34,6,0,210,382,225,379,2,251
34,6,1,147,258,356,67,29,82
34,7,0,347,16,216,258,379,179
34,7,1,16,179,238,366,203,253
35,0,0,363,201,104,184,316,218
35,0,1,363,33,184,217,368,270
35,1,0,217,374,363,142,98,182
35,1,1,374,141,8,121,376,205
35,2,0,248,321,379,334,161,95
35,2,1,179,363,270,368,303,15
35,3,0,265,363,53,290,117,360
35,3,1,265,93,27,296,142,48
35,4,0,363,320,234,53,228,56
35,4,1,45,56,8,363,88,27
35,5,0,62,200,191,159,240,380
35,5,1,270,316,159,23,93,149
35,6,0,168,149,134,104,187,337
35,6,1,168,244,93,20,353,173
35,7,0,320,363,140,152,379,229
35,7,1,363,290,320,379,229,140
36,0,0,90,315,101,379,151,59
36,0,1,53,197,2,293,275,274
36,1,0,147,21,304,323,155,129
36,1,1,147,179,265,6,99,343
36,2,0,36,62,283,366,349,260
36,2,1,36,2,176,326,99,20
36,3,0,49,2,155,33,207,289
36,3,1,306,309,322,155,147,45
36,4,0,195,380,379,147,183,314
36,4,1,22,166,361,50,195,183
36,5,0,197,157,126,370,54,205
36,5,1,71,267,2,321,197,309
36,6,0,196,28,250,187,372,339
36,6,1,298,229,184,2,289,155
