layer,token,stream,e0,e1,e2,e3,e4,e5
48,3,0,203,359,329,317,135,303
48,3,1,329,283,171,88,229,182
48,4,0,26,16,189,116,317,350
48,4,1,166,278,75,226,189,141
48,5,0,204,87,44,312,251,22
48,5,1,274,44,223,344,234,252
48,6,0,320,223,136,26,298,232
48,6,1,90,198,236,65,170,324
48,7,0,232,253,65,285,322,37
48,7,1,166,98,223,143,59,128
49,0,0,132,332,213,287,136,178
49,0,1,80,238,292,116,224,319
49,1,0,375,268,120,339,208,314
49,1,1,181,165,0,373,172,364
49,2,0,243,359,242,56,79,116
49,2,1,243,78,12,216,16,368
49,3,0,277,253,292,132,154,39
49,3,1,277,253,314,292,324,43
49,4,0,214,120,94,330,383,271
49,4,1,214,174,237,120,131,330
49,5,0,281,164,137,238,158,181
49,5,1,182,216,154,281,199,47
49,6,0,107,183,193,21,209,239
49,6,1,212,279,248,360,174,98
49,7,0,176,36,379,35,279,216
49,7,1,176,258,345,127,340,261
50,0,0,220,380,25,312,124,77
50,0,1,48,272,316,295,145,348
50,1,0,355,368,359,131,149,297
50,1,1,49,309,89,167,202,144
50,2,0,25,34,271,159,204,137
50,2,1,1,174,25,247,297,87
50,3,0,262,371,153,192,273,177
50,3,1,319,32,273,1,49,360
50,4,0,1,303,24,97,49,263
50,4,1,303,24,49,149,295,69
50,5,0,180,96,25,92,280,328
50,5,1,180,282,124,92,203,250
50,6,0,147,288,8,73,97,118
50,6,1,325,287,56,329,263,306
50,7,0,33,370,361,42,129,301
50,7,1,197,89,146,130,126,42
51,0,0,241,129,24,237,222,162
51,0,1,237,297,24,69,242,0
51,1,0,144,380,236,231,279,72
51,1,1,212,339,69,97,295,158
51,2,0,130,18,210,222,24,310
51,2,1,130,24,31,102,246,336
51,3,0,160,346,98,8,206,136
51,3,1,160,72,7,52,304,180
51,4,0,186,30,342,212,238,39
51,4,1,212,186,304,277,30,271
51,5,0,277,135,379,23,0,298
51,5,1,72,298,24,243,245,122
51,6,0,20,365,186,107,210,354
51,6,1,283,112,146,365,1,87
51,7,0,30,301,24,162,206,280
51,7,1,251,30,24,206,227,301
52,0,0,381,323,169,48,76,227
52,0,1,133,227,13,308,313,296
52,1,0,121,381,282,8,46,131
52,1,1,24,335,74,297,373,205
52,2,0,208,24,145,235,227,154
52,2,1,89,124,131,208,252,256
52,3,0,33,102,340,268,104,29
52,3,1,196,268,345,33,257,282
52,4,0,323,307,12,319,207,338
52,4,1,32,14,73,332,46,105
52,5,0,16,12,327,139,229,76
52,5,1,83,16,263,51,89,295
52,6,0,65,83,346,227,289,314
52,6,1,381,281,250,114,242,107
52,7,0,291,252,278,108,318,121
52,7,1,83,32,273,291,187,82
53,0,0,111,16,173,132,74,25
53,0,1,280,118,325,173,66,128
53,1,0,118,59,202,310,187,379
53,1,1,186,4,99,271,231,274
53,2,0,369,295,103,341,258,42
53,2,1,341,42,296,117,360,226
53,3,0,139,151,370,20,30,105
53,3,1,4,226,350,46,280,338
53,4,0,383,65,110,42,133,186
53,4,1,383,65,71,16,194,350
53,5,0,86,92,127,273,320,6
53,5,1,21,16,346,174,118,292
53,6,0,110,296,309,126,226,353
53,6,1,262,89,219,280,65,202
53,7,0,121,268,86,196,64,214
53,7,1,159,42,294,196,227,127
54,0,0,197,240,224,314,254,50
54,0,1,254,133,130,111,211,57
54,1,0,240,383,85,142,194,105
54,1,1,124,344,160,157,343,251
54,2,0,176,57,317,321,270,213
54,2,1,34,57,50,271,161,211
54,3,0,56,182,345,321,71,317
54,3,1,345,317,223,212,321,104
54,4,0,275,289,278,130,104,62
54,4,1,173,62,124,289,14,83
54,5,0,204,296,191,130,254,45
54,5,1,95,209,328,110,306,211
54,6,0,312,185,173,370,383,324
54,6,1,352,37,292,274,258,203
54,7,0,86,57,249,314,296,32
54,7,1,173,53,275,328,31,268
55,0,0,353,52,91,81,155,333
55,0,1,251,91,81,347,160,51
55,1,0,193,273,111,228,21,375
55,1,1,81,204,26,24,210,21
55,2,0,0,133,71,334,259,328
55,2,1,328,185,306,229,139,241
55,3,0,320,247,150,180,360,278
55,3,1,124,34,320,88,21,332
55,4,0,81,127,97,6,21,15
55,4,1,180,194,115,49,375,231
55,5,0,137,306,316,295,269,27
55,5,1,119,340,137,276,45,21
55,6,0,304,164,360,279,193,281
55,6,1,7,152,6,23,286,279
55,7,0,333,127,368,194,87,62
55,7,1,127,333,180,222,296,194
56,0,0,322,156,73,205,219,129
56,0,1,129,318,73,43,2,321
56,1,0,322,231,281,25,220,153
56,1,1,220,312,82,358,206,245
56,2,0,295,143,53,169,285,276
56,2,1,295,237,264,205,381,141
56,3,0,381,155,344,229,267,93
56,3,1,381,156,246,219,268,346
56,4,0,207,208,270,94,71,156
56,4,1,207,285,167,224,281,142
56,5,0,334,310,253,140,198,313
56,5,1,64,369,43,271,136,140
56,6,0,318,356,135,170,206,317
56,6,1,138,240,270,71,314,118
56,7,0,367,15,313,285,266,346
56,7,1,374,359,381,189,121,15
57,0,0,197,289,152,111,12,368
57,0,1,197,289,111,198,214,84
57,1,0,137,246,154,316,300,200
57,1,1,316,84,15,254,199,237
57,2,0,289,254,257,197,270,347
57,2,1,347,254,316,285,198,86
57,3,0,365,288,97,238,316,39
57,3,1,365,50,161,288,289,111
57,4,0,21,271,316,187,107,29
57,4,1,274,4,352,254,220,43
57,5,0,363,50,83,81,156,274
57,5,1,257,70,316,26,274,79
57,6,0,270,309,108,356,236,271
57,6,1,323,84,94,123,73,158
57,7,0,271,316,117,61,347,189
57,7,1,271,340,357,61,318,347
58,0,0,220,60,54,277,229,122
58,0,1,2,241,50,65,60,36
58,1,0,180,220,144,283,310,100
58,1,1,220,237,131,375,380,116
58,2,0,220,333,49,353,219,192
58,2,1,220,333,42,121,192,17
58,3,0,220,121,302,355,5,49
58,3,1,302,220,355,335,121,49
58,4,0,192,220,68,377,121,93
58,4,1,356,65,37,178,262,18
58,5,0,192,100,83,121,220,18
58,5,1,154,25,180,17,220,42
58,6,0,220,138,63,180,42,166
58,6,1,311,291,228,61,203,334
58,7,0,220,129,93,146,37,116
58,7,1,269,146,220,104,238,307
59,0,0,130,242,61,275,150,129
59,0,1,94,382,242,366,130,380
59,1,0,331,296,234,229,43,77
59,1,1,142,103,345,234,374,18
59,2,0,60,46,181,221,63,151
59,2,1,60,146,94,46,138,249
59,3,0,76,80,275,234,229,344
59,3,1,76,293,80,155,226,211
59,4,0,120,274,249,219,43,272
59,4,1,109,219,191,20,286,162
59,5,0,115,63,357,59,28,293
59,5,1,73,34,170,354,200,63
59,6,0,264,310,96,248,378,7
59,6,1,204,362,231,345,209,7
59,7,0,89,234,51,327,380,222
59,7,1,89,325,51,210,93,378
60,0,0,137,231,368,129,84,374
60,0,1,215,7,257,258,3,129
60,1,0,176,132,276,15,121,138
60,1,1,238,218,115,121,337,139
60,2,0,166,224,157,289,286,298
60,2,1,166,42,203,92,132,3
60,3,0,345,108,26,265,7,372
60,3,1,345,372,144,108,129,100
60,4,0,337,215,35,48,176,145
60,4,1,49,337,178,85,215,95
60,5,0,26,238,178,316,344,42
60,5,1,155,121,215,107,283,42
60,6,0,113,243,307,50,78,26
60,6,1,345,141,372,85,194,248
60,7,0,11,170,139,229,130,134
60,7,1,344,49,112,276,370,26
