generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_min_pb,best_max_pb,best_used,mean_composite
171,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.967231
172,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.471201
173,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.813735
174,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.706934
175,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.054170
176,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.111118
177,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.845391
178,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.932754
179,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.686118
180,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.064648
181,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.467539
182,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.978506
183,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.002715
184,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.721963
185,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.760967
186,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.882090
187,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.755376
188,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.241289
189,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.538330
190,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.562764
191,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.645713
192,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.645752
193,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.715996
194,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.661655
195,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.457153
196,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.679492
197,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.532227
198,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.578003
199,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.804814
200,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.504761
201,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.623779
202,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.809526
203,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.568262
204,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.653076
205,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.783975
206,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.832793
207,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.815947
208,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.949897
209,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.004702
210,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.641616
211,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.460205
212,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.624424
213,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.647617
214,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.936074
215,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.784438
216,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.975894
217,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.036274
218,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.912646
219,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.647061
220,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.614038
221,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.805835
222,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.539551
223,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.084292
224,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.990024
225,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.930796
226,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.874058
227,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.079712
228,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.726318
229,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.812036
230,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.273667
231,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.339355
232,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.999453
233,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.797378
234,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.657349
235,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.633545
236,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.941270
237,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.803286
238,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.202876
239,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.656836
240,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.952627
241,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.784336
242,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.489170
243,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.527354
244,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.730591
245,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.717070
246,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.804526
247,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.913950
248,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.632935
249,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.658247
250,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.836284
251,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.487061
252,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.651289
253,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.086733
254,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.636597
255,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.488892
256,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.574951
257,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.809360
258,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.506592
259,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.540308
260,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.711670
261,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.821880
262,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.485137
263,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.625610
264,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.786167
265,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.849033
266,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.896606
267,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.832720
268,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.361465
269,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.714863
270,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.540771
271,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.159619
272,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.911304
273,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.682373
274,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.336187
275,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.430298
276,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.786074
277,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.534053
278,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.570674
279,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.454404
280,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.648203
281,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.963540
282,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.476108
283,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.556641
284,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.194595
285,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.779653
286,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.681196
287,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.934414
288,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.550537
289,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.294658
290,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.127925
291,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.098804
292,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.395508
293,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.701938
294,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.753091
295,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.357266
296,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.840005
297,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.088447
298,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.756763
299,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.716553
300,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.576792
301,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.847847
302,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.186626
303,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.139321
304,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.990264
